exposure_time,signal_avg,sigma_total,sigma_shot,sigma_fpn
0.14,2112.195,296.6538,83.05123510248414,283.19045042437915
0.184,3409.2576,390.4414,83.69045573657847,380.1726535170759
0.228,5063.175,517.51825,84.78643550986433,509.63441783512076
0.272,6905.45,665.3335,89.52045819749166,658.5936518846215
0.317,9294.655,825.9525,64.28391950188211,822.8948867760004
0.361,11712.754,929.4631,97.28340281989513,923.8660178967472
0.405,14284.581,1022.37317,71.21630724562978,1019.4439499408032
0.449,16909.285,1138.8496,99.20198412621411,1134.1200094496319
0.493,19514.69,1278.8281,84.55724928892386,1275.6732736407475
0.538,22479.887,1424.7034,105.8726153391916,1420.4441537103282
0.582,25250.387,1564.302,94.88174448275772,1561.1306989014467
0.626,28258.057,1748.6456,116.01621008592225,1744.5321990395908
0.67,31358.936,1923.7931,123.49952074162962,1919.5880997925567
0.714,34502.863,2055.0742,125.53601340519032,2051.014764409789
0.758,37507.29,2179.0325,126.43980967341507,2175.1520243464274
0.802,40470.15,2303.0422,129.53269404369425,2299.1989117217313
0.847,43195.04,2420.807,133.86310960241607,2416.9148769404733
0.891,45717.215,2438.1184,139.0716922854052,2433.9620824683125
0.935,47618.18,2325.5752,150.44873344536654,2320.5077101990623
0.979,48837.28,2265.8943,184.07139801961566,2258.204059627853
1.023,49495.58,2263.339,232.5055340185528,2251.1632617692035
1.068,49903.91,2278.2969,,2278.192340627491
1.112,50110.484,2294.4324,279.77708891908617,2277.1112478323435
1.156,50142.58,2315.0159,282.3227011680919,2297.5385191316736
1.2,50312.06,2322.8071,283.1191050809139,2305.291180486056
