exposure_time,signal_avg,sigma_total,sigma_shot,sigma_fpn
0.14,2110.827,340.91336,84.01968041325001,328.8643686613987
0.184,3396.2705,434.73224,80.7152746244277,425.9886468429743
0.228,5034.3853,567.4122,84.07077253869626,560.2480035676627
0.272,6867.3267,730.73096,87.53408095349101,724.7721659034877
0.317,9217.291,912.9902,59.6319746869357,910.4857208609818
0.361,11633.792,1054.0319,97.6416303014298,1049.0178238852207
0.405,14192.325,1180.652,72.19490077332281,1178.0136582820826
0.449,16824.826,1324.2557,102.33135206764099,1319.9131419077596
0.493,19434.0,1494.2515,85.01466145440986,1491.4922611715413
0.538,22401.803,1667.1786,113.11653890444697,1663.032863903502
0.582,25179.674,1836.5853,95.89510557450484,1833.804525167189
0.626,28182.137,2042.292,126.52078579294229,2038.121230093819
0.67,31307.65,2242.1624,135.35217080572485,2237.8473915025984
0.714,34448.223,2398.154,138.68483937974193,2393.9295463991875
0.758,37466.465,2547.4268,140.86118046284088,2543.330549817585
0.802,40451.395,2688.2014,144.64167231567177,2684.119025756222
0.847,43186.375,2815.571,149.9783119220054,2811.3939894205205
0.891,45707.94,2839.328,153.25194443262646,2835.0107582378632
0.935,47598.21,2724.007,156.5448776409234,2719.3192822986407
0.979,48759.887,2643.6035,177.93070668277323,2637.4171686360455
1.023,49338.19,2627.1882,210.06681778042676,2618.583412813961
1.068,49658.03,2636.638,,2636.570693501321
1.112,49831.363,2649.6838,240.38400004940456,2638.5657449298196
1.156,49870.137,2666.8289,245.48595274640624,2655.3157636712426
1.2,50001.05,2673.218,249.0202036666279,2661.4042526385647
