205.6575433,57.44042945
207.0958076,64.4711235
220.6394637,64.94144675
226.032955,75.85358383
235.6213841,85.29758977
247.6069205,99.6786987
259.5924568,114.516228
272.7765468,131.1626299
285.9606368,146.0812696
299.1447268,157.6283678
312.3288168,166.7061814
325.5129067,175.9851701
338.6969967,182.863974
351.8810867,188.3995115
365.0651767,194.694187
378.2492667,198.0404525
391.4333567,202.6739923
404.6174466,202.6739923
417.8015366,206.5341652
430.9856266,208.1747479
444.1697166,209.8283624
457.3538066,214.7377032
470.5378966,220.4316797
483.7219865,211.6238708
496.9060765,199.8566903
510.0901665,192.5729341
523.2742565,189.5496382
536.4583465,186.346841
549.6424365,180.7615669
562.8265264,176.306786
576.0106164,172.0664817
589.1947064,167.6218279
602.3787964,163.0933407
615.5628864,159.2677326
628.7469764,157.5324618
641.9310663,154.9649404
655.1151563,149.9547548
668.2992463,147.241651
681.4833363,146.526484
694.6674263,141.0145894
707.8515163,137.3720379
721.0356062,132.6881602
734.2196962,134.3131539
747.4037862,133.8235772
760.5878762,136.2894369
773.7719662,129.6546388
786.9560562,127.3863271
800.1401461,135.9580485
811.5264057,152.9969453
815.9211023,180.8716149
819.9162811,215.7420233
830.5035049,267.5836244
826.907844,360.1807548
830.9030228,308.3200357
835.8570445,241.5320048
839.6924161,210.9808608
844.3154087,174.5830871
850.2396881,144.7272993
862.9643325,138.3789931
872.2031834,163.0437176
875.4093144,198.3782261
879.244686,233.2682621
885.6869118,278.0850828
887.9009067,315.512443
885.2374542,395.8664055
901.3180488,269.2308026
913.7207288,269.5402227
922.0929785,259.642483
924.7897242,215.0210579
928.8990509,182.0865731
934.3781532,148.7050982
939.4120785,122.9980018
945.165136,108.4782489
957.7499491,126.2517278
966.7391014,143.6654049
972.1325927,164.1389215
977.7657948,199.9783634
983.6110487,227.455578
992.4223936,201.7071217
993.7065582,244.7331397
1000.538314,150.2562317
1008.089202,123.7689562
1017.078354,107.4560918
1027.32054,92.99723198
1039.850873,89.06424503
1053.034963,86.34220484
1066.219053,82.79138366
1079.403143,79.62853778
1092.587233,76.58652083
1105.771323,70.58844718
1118.955413,64.66536426
1132.139503,58.95155677
1145.323593,56.35541999
1158.507683,53.18943896
1171.691773,52.35439218
1184.875863,48.48963996
1198.059953,44.20511344
1210.045489,39.01471404
1222.031026,34.15083756
1235.215116,30.70050915
1248.399206,30.29218256
1261.583296,32.44879579
1274.767386,34.29664124
1287.951476,33.41072381
1301.135566,31.22816771
1314.319655,28.46885845
1327.024324,25.04862089
1338.77015,22.38400091
1349.676988,19.47754751
1361.063247,17.24135535
1373.220006,14.88205499
1387.431427,14.49574562
1400.615517,15.92009469
1413.542774,17.94177479
1426.153929,20.97011014
1437.471041,24.46305158
1450.95477,27.93676868
1464.13886,31.19017888
1477.32295,33.22821528
1490.50704,33.61468701
1503.69113,32.88619267
1516.87522,31.19017888
1530.05931,28.67753893
1543.2434,25.34458426
1555.761627,22.75163683
1565.483228,20.76236052
1578.001455,19.05108338
1591.185545,18.04659654
1604.369635,17.32550702
1617.553725,17.31496564
1630.737815,16.47204411
1643.921905,15.94918894
1657.105995,15.0715167
1670.290085,15.25609323
1683.474175,15.31190573
1696.658265,15.80424747
1709.842355,15.74664037
1723.026445,14.89823783
1736.210535,14.45170092
1749.394625,14.63759272
1762.578715,15.3398885
1775.762805,15.38664013
1788.946895,14.66434317
1802.130985,13.53232876
1814.116521,11.982244
1824.903504,10.36435286
1836.88904,9.061216014
1850.07313,8.130883647
1863.25722,7.453155204
1876.44131,6.932441825
1889.6254,7.038728318
1902.80949,7.608989811
1915.99358,8.285746224
1929.17767,7.954671899
1941.762483,7.245550199
1954.347297,6.300691125
1967.531386,6.18669388
1980.715476,5.986671317
1993.899566,5.605817951
2005.885103,4.853162296
2016.672086,4.047614004
2026.560153,3.41174777
2035.848944,3.005914267
2042.201278,2.632739964
2055.025802,2.245783612
2068.209892,2.074944433
2081.393982,2.315175116
2094.578072,2.575369969
2107.762162,2.408599349
2120.346975,2.21807285
2132.931788,1.942942937
2144.318048,1.814777165
2154.505754,1.537810806
2165.892013,1.338009151
2178.476826,1.171685794
2191.660916,1.216002893
2203.047176,1.352871255
2213.834158,1.594541209
2226.418972,1.833790694
2235.208365,2.118519504
2244.996553,2.494191834
2256.382812,2.880542433
2269.566902,3.104455818
2281.552439,2.915622436
2289.942314,2.50213604
2295.136047,2.170091032
2298.931467,1.852110828
2305.523512,1.627979819
2309.290394,1.365545609
2318.707602,1.224171077
2330.093861,1.393082411
2335.487352,1.623626064
2345.075781,1.990823671
2358.259871,2.265000858
2371.443961,2.442552437
2384.628051,2.539570631
2396.014311,2.440509248
