exposure_time,signal_avg,sigma_total,sigma_shot,sigma_fpn
0.14,2105.8962,314.1971,31.058581411418132,311.1974707347716
0.184,3386.4954,418.23245,36.23651989661564,415.56465008081585
0.228,5018.2715,556.7018,43.05720203551655,554.2126175926361
0.272,6855.3613,714.9293,53.14262545482617,712.3120608313303
0.317,9227.534,920.1246,60.13071108739277,917.6612777763554
0.361,11721.5205,1075.1401,75.69200750045655,1072.047465435444
0.405,14340.877,1182.3088,72.5210245901237,1179.6964118528153
0.449,16982.977,1316.4618,82.42109498257167,1313.5322840523877
0.493,19585.297,1479.0995,83.87807882523519,1476.4106444477418
0.538,22544.0,1645.6282,94.52421495955754,1642.6338137065998
0.582,25312.992,1807.8228,94.97229492403089,1805.0739420707596
0.626,28297.94,2013.2124,109.81290395082955,2009.9885694381187
0.67,31417.008,2216.7546,118.88708313840104,2213.358428860733
0.714,34545.727,2381.1455,123.03233129148664,2377.7732689646823
0.758,37550.113,2537.6643,124.37547492647431,2534.434732713159
0.802,40526.695,2691.8962,128.28251032471255,2688.6684010288063
0.847,43260.246,2835.5146,133.95932742996882,2832.1876830006377
0.891,45775.555,2866.734,136.61588121519586,2863.3176167072006
0.935,47642.094,2750.728,135.91930256026635,2747.2020523320703
0.979,48762.21,2678.1226,152.06903533902573,2673.6312725649113
1.023,49276.58,2674.4539,176.27809368075856,2668.4673891270036
1.068,49555.74,2692.6921,,2692.6475612034833
1.112,49713.527,2707.1687,206.33419562822766,2699.1252977326676
1.156,49746.17,2726.3408,212.21555283933273,2717.9013470468544
1.2,49866.227,2736.3396,215.02666602202368,2727.710891213631
