exposure_time,signal_avg,sigma_total,sigma_shot,sigma_fpn
0.14,2098.6238,307.72543,25.895402979122217,305.11155979196127
0.184,3378.428,414.49298,31.530584906566975,412.16374199713937
0.228,5007.7046,551.66815,41.17547980439087,549.2822774899195
0.272,6834.1704,717.93823,53.5065357788936,715.2908874231355
0.317,9186.146,919.27057,59.84500490970201,916.8127621761122
0.361,11627.459,1075.6492,74.966102235793,1072.5995986467678
0.405,14210.829,1200.5122,71.8751814064991,1197.9700116444558
0.449,16840.703,1350.0956,82.12635441220284,1347.2498199712613
0.493,19434.379,1527.5343,84.42910585640347,1524.8939033866989
0.538,22384.541,1711.8243,97.11136982261583,1708.7950644687648
0.582,25145.566,1888.031,95.16178028913252,1885.3842913511924
0.626,28132.025,2100.1436,108.23745371651653,2097.130502404321
0.67,31240.266,2305.9038,118.29590303419361,2302.6652535327316
0.714,34358.22,2468.8777,121.50242984967238,2465.6972340582006
0.758,37357.945,2623.1265,122.47076501629479,2620.08818596206
0.802,40320.71,2774.806,126.46190765174045,2771.754692683809
0.847,43042.273,2911.1548,131.3176104653694,2908.0313574105935
0.891,45549.543,2949.266,134.69646051998166,2946.0306437688364
0.935,47427.14,2846.8027,137.1158246334447,2843.335003325624
0.979,48576.668,2781.0144,159.3141397203002,2776.279650068922
1.023,49149.492,2771.238,192.7603583108542,2764.3575446684727
1.068,49458.855,2782.7961,,2782.740715173226
1.112,49627.71,2796.545,222.34702410838761,2787.5247068630224
1.156,49661.715,2812.0234,226.93191183196595,2802.685604539675
1.2,49790.7,2819.1497,229.67566134047374,2809.612567791056
