exposure_time,signal_avg,sigma_total,sigma_shot,sigma_fpn
0.14,2099.6252,297.81274,28.224277686971927,294.78702190092883
0.184,3377.4895,395.0157,38.532478078579906,391.86248506688383
0.228,5007.625,527.4257,45.46914086810168,524.513108199773
0.272,6837.329,680.60913,58.31053402374559,677.3715607526904
0.317,9189.578,864.3974,58.8496557683943,861.8138786655803
0.361,11630.8955,999.5247,80.6982680889772,995.761540466446
0.405,14206.383,1097.5746,72.22681065648699,1094.740542899121
0.449,16838.266,1217.2178,91.76656009581318,1213.3431468026065
0.493,19430.684,1367.1919,83.41150554228139,1364.2799251575316
0.538,22387.748,1518.9958,107.47352588721918,1514.8602277695586
0.582,25145.418,1670.0398,94.00780628945111,1667.0930090433812
0.626,28128.385,1860.682,124.26772328692172,1856.2593033824114
0.67,31240.072,2047.848,135.592133642121,2043.1103351848249
0.714,34357.316,2192.0427,141.3861330121749,2187.2505640270238
0.758,37355.113,2330.3574,145.9683579859563,2325.567093616427
0.802,40323.223,2461.097,151.36025664655554,2456.235257696738
0.847,43040.13,2582.612,158.24052280133532,2577.5663920427405
0.891,45551.246,2595.9448,161.2501598198675,2590.7395574242382
0.935,47430.44,2463.094,163.28350030043956,2457.473106053107
0.979,48588.816,2369.7097,183.73231232382335,2362.36534131637
1.023,49162.777,2352.3967,214.86750482920513,2342.350533932345
1.068,49479.664,2362.3384,,2362.264526889388
1.112,49650.56,2377.6646,242.25932206853886,2365.079806119777
1.156,49684.33,2400.0164,245.9729281735776,2387.169744079877
1.2,49813.355,2406.013,248.31419042951703,2392.9567758896114
